statefips,st_abbr,state,division,div_label
0,US,United States,0,US
1,AL,Alabama,6,East South Central
2,AK,Alaska,9,Pacific
4,AZ,Arizona,8,Mountain
5,AR,Arkansas,7,West South Central
6,CA,California,9,Pacific
8,CO,Colorado,8,Mountain
9,CT,Connecticut,1,New England
10,DE,Delaware,5,South Atlantic
11,DC,District of Columbia,5,South Atlantic
12,FL,Florida,5,South Atlantic
13,GA,Georgia,5,South Atlantic
15,HI,Hawaii,9,Pacific
16,ID,Idaho,8,Mountain
17,IL,Illinois,3,East North Central
18,IN,Indiana,3,East North Central
19,IA,Iowa,4,West North Central
20,KS,Kansas,4,West North Central
21,KY,Kentucky,6,East South Central
22,LA,Louisiana,7,West South Central
23,ME,Maine,1,New England
24,MD,Maryland,5,South Atlantic
25,MA,Massachusetts,1,New England
26,MI,Michigan,3,East North Central
27,MN,Minnesota,4,West North Central
28,MS,Mississippi,6,East South Central
29,MO,Missouri,4,West North Central
30,MT,Montana,8,Mountain
31,NE,Nebraska,4,West North Central
32,NV,Nevada,8,Mountain
33,NH,New Hampshire,1,New England
34,NJ,New Jersey,2,Middle Atlantic
35,NM,New Mexico,8,Mountain
36,NY,New York,2,Middle Atlantic
37,NC,North Carolina,5,South Atlantic
38,ND,North Dakota,4,West North Central
39,OH,Ohio,3,East North Central
40,OK,Oklahoma,7,West South Central
41,OR,Oregon,9,Pacific
42,PA,Pennsylvania,2,Middle Atlantic
44,RI,Rhode Island,1,New England
45,SC,South Carolina,5,South Atlantic
46,SD,South Dakota,4,West North Central
47,TN,Tennessee,6,East South Central
48,TX,Texas,7,West South Central
49,UT,Utah,8,Mountain
50,VT,Vermont,1,New England
51,VA,Virginia,5,South Atlantic
53,WA,Washington,9,Pacific
54,WV,West Virginia,5,South Atlantic
55,WI,Wisconsin,3,East North Central
56,WY,Wyoming,8,Mountain
